timestamp,daylight,moon,EcLon,EcLat,
 2020-Jan-01 00:00, , , 238.3851836,  0.3611199,
 2020-Jan-01 01:00, , , 238.4133463,  0.3606922,
 2020-Jan-01 02:00, , , 238.4414722,  0.3602451,
 2020-Jan-01 03:00, , , 238.4695538,  0.3597810,
 2020-Jan-01 04:00, , , 238.4975868,  0.3593034,
 2020-Jan-01 05:00, , , 238.5255703,  0.3588166,
 2020-Jan-01 06:00, , , 238.5535066,  0.3583257,
 2020-Jan-01 07:00,N, , 238.5814016,  0.3578358,
 2020-Jan-01 08:00,*, , 238.6092638,  0.3573523,
 2020-Jan-01 09:00,*, , 238.6371040,  0.3568799,
 2020-Jan-01 10:00,*, , 238.6649346,  0.3564225,
 2020-Jan-01 11:00,*, , 238.6927688,  0.3559831,
 2020-Jan-01 12:00,*,m, 238.7206193,  0.3555635,
 2020-Jan-01 13:00,*,m, 238.7484981,  0.3551639,
 2020-Jan-01 14:00,*,m, 238.7764149,  0.3547833,
 2020-Jan-01 15:00,*,m, 238.8043773,  0.3544193,
 2020-Jan-01 16:00,*,m, 238.8323894,  0.3540685,
 2020-Jan-01 17:00,N,m, 238.8604523,  0.3537265,
 2020-Jan-01 18:00,A,m, 238.8885633,  0.3533882,
 2020-Jan-01 19:00, ,m, 238.9167168,  0.3530483,
 2020-Jan-01 20:00, ,m, 238.9449041,  0.3527016,
 2020-Jan-01 21:00, ,m, 238.9731143,  0.3523433,
 2020-Jan-01 22:00, ,m, 239.0013351,  0.3519695,
 2020-Jan-01 23:00, , , 239.0295533,  0.3515773,
 2020-Jan-02 00:00, , , 239.0577560,  0.3511650,
 2020-Jan-02 01:00, , , 239.0859315,  0.3507324,
 2020-Jan-02 02:00, , , 239.1140697,  0.3502805,
 2020-Jan-02 03:00, , , 239.1421633,  0.3498117,
 2020-Jan-02 04:00, , , 239.1702081,  0.3493296,
 2020-Jan-02 05:00, , , 239.1982032,  0.3488387,
 2020-Jan-02 06:00, , , 239.2261511,  0.3483439,
 2020-Jan-02 07:00,N, , 239.2540577,  0.3478507,
 2020-Jan-02 08:00,*, , 239.2819315,  0.3473641,
 2020-Jan-02 09:00,*, , 239.3097835,  0.3468889,
 2020-Jan-02 10:00,*, , 239.3376263,  0.3464290,
 2020-Jan-02 11:00,*, , 239.3654729,  0.3459874,
 2020-Jan-02 12:00,*,m, 239.3933363,  0.3455656,
 2020-Jan-02 13:00,*,m, 239.4212282,  0.3451640,
 2020-Jan-02 14:00,*,m, 239.4491587,  0.3447813,
 2020-Jan-02 15:00,*,m, 239.4771350,  0.3444151,
 2020-Jan-02 16:00,*,m, 239.5051614,  0.3440618,
