*******************************************************************************
Ephemeris / WWW_USER Wed May 20 06:51:02 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2439.7 x 2439.7 x 2439.7 km     {Equator, meridian, pole}    
Center geodetic : 358.300000,48.1000000,9.983E-13 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 358.300000,4267.44819,4724.3093 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.200519.p200810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-MAY-19. PREDICTS-> 2020-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,    ObsEcLon,   ObsEcLat,
************************************************
$$SOE
 2020-Jan-01 00:00, , , 274.3833038, -1.2735085,
 2020-Jan-01 01:00, , , 274.4492202, -1.2771711,
 2020-Jan-01 02:00, , , 274.5151236, -1.2808582,
 2020-Jan-01 03:00, , , 274.5809953, -1.2845659,
 2020-Jan-01 04:00, , , 274.6468197, -1.2882883,
 2020-Jan-01 05:00, , , 274.7125848, -1.2920182,
 2020-Jan-01 06:00, , , 274.7782833, -1.2957474,
 2020-Jan-01 07:00,N, , 274.8439132, -1.2994674,
 2020-Jan-01 08:00,*, , 274.9094775, -1.3031698,
 2020-Jan-01 09:00,*, , 274.9749844, -1.3068470,
 2020-Jan-01 10:00,*, , 275.0404466, -1.3104928,
 2020-Jan-01 11:00,*, , 275.1058804, -1.3141027,
 2020-Jan-01 12:00,*,m, 275.1713046, -1.3176741,
 2020-Jan-01 13:00,*,m, 275.2367393, -1.3212067,
 2020-Jan-01 14:00,*,m, 275.3022045, -1.3247025,
 2020-Jan-01 15:00,*,m, 275.3677188, -1.3281655,
 2020-Jan-01 16:00,*,m, 275.4332979, -1.3316015,
 2020-Jan-01 17:00,N,m, 275.4989539, -1.3350177,
 2020-Jan-01 18:00,A,m, 275.5646940, -1.3384225,
 2020-Jan-01 19:00, ,m, 275.6305206, -1.3418243,
 2020-Jan-01 20:00, ,m, 275.6964307, -1.3452314,
 2020-Jan-01 21:00, ,m, 275.7624162, -1.3486513,
 2020-Jan-01 22:00, ,m, 275.8284645, -1.3520903,
 2020-Jan-01 23:00, , , 275.8945595, -1.3555527,
 2020-Jan-02 00:00, , , 275.9606821, -1.3590412,
 2020-Jan-02 01:00, , , 276.0268127, -1.3625560,
 2020-Jan-02 02:00, , , 276.0929312, -1.3660950,
 2020-Jan-02 03:00, , , 276.1590192, -1.3696540,
