*******************************************************************************
Ephemeris / WWW_USER Wed May 20 06:52:25 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 358.300000,48.1000000,9.983E-13 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 358.300000,4267.44819,4724.3093 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.200519.p200810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-MAY-19. PREDICTS-> 2020-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,    ObsEcLon,   ObsEcLat,
************************************************
$$SOE
 2020-Jan-01 00:00, , , 345.3683052, -5.2430438,
 2020-Jan-01 01:00, , , 345.9377380, -5.2651137,
 2020-Jan-01 02:00, , , 346.5342792, -5.3037178,
 2020-Jan-01 03:00, , , 347.1514779, -5.3572589,
 2020-Jan-01 04:00, , , 347.7816983, -5.4231709,
 2020-Jan-01 05:00, , , 348.4165745, -5.4980966,
 2020-Jan-01 06:00, , , 349.0474870, -5.5781029,
 2020-Jan-01 07:00,N, , 349.6660448, -5.6589217,
 2020-Jan-01 08:00,*, , 350.2645588, -5.7362075,
 2020-Jan-01 09:00,*, , 350.8364899, -5.8058012,
 2020-Jan-01 10:00,*, , 351.3768539, -5.8639904,
 2020-Jan-01 11:00,*, , 351.8825609, -5.9077533,
 2020-Jan-01 12:00,*,m, 352.3526620, -5.9349732,
 2020-Jan-01 13:00,*,m, 352.7884775, -5.9446052,
 2020-Jan-01 14:00,*,m, 353.1935796, -5.9367782,
 2020-Jan-01 15:00,*,m, 353.5736150, -5.9128182,
 2020-Jan-01 16:00,*,m, 353.9359636, -5.8751797,
 2020-Jan-01 17:00,N,m, 354.2892494, -5.8272844,
 2020-Jan-01 18:00,A,m, 354.6427402, -5.7732757,
 2020-Jan-01 19:00, ,m, 355.0056859, -5.7177075,
 2020-Jan-01 20:00, ,m, 355.3866591, -5.6651977,
 2020-Jan-01 21:00, ,m, 355.7929569, -5.6200790,
 2020-Jan-01 22:00, ,m, 356.2301186, -5.5860809,
 2020-Jan-01 23:00, , , 356.7015908, -5.5660710,
 2020-Jan-02 00:00, , , 357.2085592, -5.5618739,
 2020-Jan-02 01:00, , , 357.7499420, -5.5741764,
 2020-Jan-02 02:00, , , 358.3225270, -5.6025176,
 2020-Jan-02 03:00, , , 358.9212300, -5.6453557,
