timestamp,daylight,moon,EcLon,EcLat,
 2020-Jan-01 00:00, , , 291.3948561,  0.0517020,
 2020-Jan-01 01:00, , , 291.3997674,  0.0516531,
 2020-Jan-01 02:00, , , 291.4046824,  0.0515997,
 2020-Jan-01 03:00, , , 291.4095986,  0.0515421,
 2020-Jan-01 04:00, , , 291.4145129,  0.0514809,
 2020-Jan-01 05:00, , , 291.4194227,  0.0514167,
 2020-Jan-01 06:00, , , 291.4243257,  0.0513504,
 2020-Jan-01 07:00,N, , 291.4292199,  0.0512832,
 2020-Jan-01 08:00,*, , 291.4341042,  0.0512161,
 2020-Jan-01 09:00,*, , 291.4389781,  0.0511504,
 2020-Jan-01 10:00,*, , 291.4438418,  0.0510869,
 2020-Jan-01 11:00,*, , 291.4486962,  0.0510266,
 2020-Jan-01 12:00,*,m, 291.4535430,  0.0509702,
 2020-Jan-01 13:00,*,m, 291.4583843,  0.0509181,
 2020-Jan-01 14:00,*,m, 291.4632227,  0.0508703,
 2020-Jan-01 15:00,*,m, 291.4680610,  0.0508266,
 2020-Jan-01 16:00,*,m, 291.4729020,  0.0507867,
 2020-Jan-01 17:00,N,m, 291.4777484,  0.0507497,
 2020-Jan-01 18:00,A,m, 291.4826025,  0.0507147,
 2020-Jan-01 19:00, ,m, 291.4874661,  0.0506807,
 2020-Jan-01 20:00, ,m, 291.4923405,  0.0506465,
 2020-Jan-01 21:00, ,m, 291.4972261,  0.0506110,
 2020-Jan-01 22:00, ,m, 291.5021226,  0.0505732,
 2020-Jan-01 23:00, , , 291.5070291,  0.0505322,
 2020-Jan-02 00:00, , , 291.5119439,  0.0504874,
 2020-Jan-02 01:00, , , 291.5168648,  0.0504383,
 2020-Jan-02 02:00, , , 291.5217893,  0.0503848,
 2020-Jan-02 03:00, , , 291.5267147,  0.0503271,
 2020-Jan-02 04:00, , , 291.5316381,  0.0502657,
 2020-Jan-02 05:00, , , 291.5365568,  0.0502015,
 2020-Jan-02 06:00, , , 291.5414684,  0.0501353,
 2020-Jan-02 07:00,N, , 291.5463713,  0.0500681,
 2020-Jan-02 08:00,*, , 291.5512642,  0.0500013,
 2020-Jan-02 09:00,*, , 291.5561466,  0.0499357,
 2020-Jan-02 10:00,*, , 291.5610188,  0.0498726,
 2020-Jan-02 11:00,*, , 291.5658818,  0.0498126,
 2020-Jan-02 12:00,*,m, 291.5707372,  0.0497566,
 2020-Jan-02 13:00,*,m, 291.5755873,  0.0497049,
 2020-Jan-02 14:00,*,m, 291.5804346,  0.0496575,
 2020-Jan-02 15:00,*,m, 291.5852819,  0.0496142,
 2020-Jan-02 16:00,*,m, 291.5901321,  0.0495746,
 2020-Jan-02 17:00,C,m, 291.5949878,  0.0495378,
 2020-Jan-02 18:00,A,m, 291.5998513,  0.0495031,
 2020-Jan-02 19:00, ,m, 291.6047243,  0.0494692,
 2020-Jan-02 20:00, ,m, 291.6096081,  0.0494351,
 2020-Jan-02 21:00, ,m, 291.6145031,  0.0493996,
 2020-Jan-02 22:00, ,m, 291.6194090,  0.0493617,
 2020-Jan-02 23:00, ,m, 291.6243248,  0.0493206,
 2020-Jan-03 00:00, , , 291.6292488,  0.0492757,
 2020-Jan-03 01:00, , , 291.6341786,  0.0492264,
 2020-Jan-03 02:00, , , 291.6391119,  0.0491727,
 2020-Jan-03 03:00, , , 291.6440458,  0.0491149,
 2020-Jan-03 04:00, , , 291.6489775,  0.0490534,
 2020-Jan-03 05:00, , , 291.6539044,  0.0489891,
 2020-Jan-03 06:00, , , 291.6588242,  0.0489230,
 2020-Jan-03 07:00,N, , 291.6637350,  0.0488559,
 2020-Jan-03 08:00,*, , 291.6686358,  0.0487892,
 2020-Jan-03 09:00,*, , 291.6735260,  0.0487239,
 2020-Jan-03 10:00,*, , 291.6784061,  0.0486611,
 2020-Jan-03 11:00,*, , 291.6832770,  0.0486015,
 2020-Jan-03 12:00,*, , 291.6881405,  0.0485459,
 2020-Jan-03 13:00,*,m, 291.6929987,  0.0484946,
 2020-Jan-03 14:00,*,m, 291.6978543,  0.0484476,
 2020-Jan-03 15:00,*,m, 291.7027100,  0.0484047,
 2020-Jan-03 16:00,*,m, 291.7075687,  0.0483654,
 2020-Jan-03 17:00,C,m, 291.7124331,  0.0483289,
 2020-Jan-03 18:00,A,m, 291.7173053,  0.0482944,
 2020-Jan-03 19:00, ,m, 291.7221871,  0.0482607,
 2020-Jan-03 20:00, ,m, 291.7270798,  0.0482266,
 2020-Jan-03 21:00, ,m, 291.7319835,  0.0481911,
 2020-Jan-03 22:00, ,m, 291.7368982,  0.0481532,
 2020-Jan-03 23:00, ,m, 291.7418225,  0.0481120,
 2020-Jan-04 00:00, ,m, 291.7467549,  0.0480669,
 2020-Jan-04 01:00, ,m, 291.7516931,  0.0480174,
 2020-Jan-04 02:00, , , 291.7566344,  0.0479636,
 2020-Jan-04 03:00, , , 291.7615763,  0.0479056,
 2020-Jan-04 04:00, , , 291.7665158,  0.0478441,
 2020-Jan-04 05:00, , , 291.7714502,  0.0477798,
 2020-Jan-04 06:00, , , 291.7763774,  0.0477136,
 2020-Jan-04 07:00,N, , 291.7812956,  0.0476467,
 2020-Jan-04 08:00,*, , 291.7862036,  0.0475802,
 2020-Jan-04 09:00,*, , 291.7911010,  0.0475152,
 2020-Jan-04 10:00,*, , 291.7959884,  0.0474527,
 2020-Jan-04 11:00,*, , 291.8008666,  0.0473935,
 2020-Jan-04 12:00,*, , 291.8057374,  0.0473382,
 2020-Jan-04 13:00,*,m, 291.8106032,  0.0472873,
 2020-Jan-04 14:00,*,m, 291.8154664,  0.0472407,
 2020-Jan-04 15:00,*,m, 291.8203299,  0.0471982,
 2020-Jan-04 16:00,*,m, 291.8251966,  0.0471592,
 2020-Jan-04 17:00,C,m, 291.8300689,  0.0471231,
 2020-Jan-04 18:00,A,m, 291.8349493,  0.0470887,
 2020-Jan-04 19:00, ,m, 291.8398393,  0.0470551,
 2020-Jan-04 20:00, ,m, 291.8447401,  0.0470211,
 2020-Jan-04 21:00, ,m, 291.8496521,  0.0469856,
 2020-Jan-04 22:00, ,m, 291.8545748,  0.0469476,
 2020-Jan-04 23:00, ,m, 291.8595071,  0.0469063,
 2020-Jan-05 00:00, ,m, 291.8644474,  0.0468611,
 2020-Jan-05 01:00, ,m, 291.8693932,  0.0468115,
 2020-Jan-05 02:00, ,m, 291.8743420,  0.0467575,
 2020-Jan-05 03:00, , , 291.8792912,  0.0466994,
 2020-Jan-05 04:00, , , 291.8842378,  0.0466377,
 2020-Jan-05 05:00, , , 291.8891792,  0.0465734,
 2020-Jan-05 06:00, , , 291.8941131,  0.0465073,
 2020-Jan-05 07:00,N, , 291.8990380,  0.0464405,
 2020-Jan-05 08:00,*, , 291.9039526,  0.0463742,
 2020-Jan-05 09:00,*, , 291.9088567,  0.0463094,
 2020-Jan-05 10:00,*, , 291.9137506,  0.0462472,
 2020-Jan-05 11:00,*, , 291.9186355,  0.0461884,
 2020-Jan-05 12:00,*, , 291.9235132,  0.0461335,
 2020-Jan-05 13:00,*,m, 291.9283858,  0.0460830,
 2020-Jan-05 14:00,*,m, 291.9332560,  0.0460368,
 2020-Jan-05 15:00,*,m, 291.9381267,  0.0459946,
 2020-Jan-05 16:00,*,m, 291.9430006,  0.0459560,
 2020-Jan-05 17:00,C,m, 291.9478804,  0.0459201,
 2020-Jan-05 18:00,A,m, 291.9527682,  0.0458860,
 2020-Jan-05 19:00, ,m, 291.9576658,  0.0458525,
 2020-Jan-05 20:00, ,m, 291.9625741,  0.0458186,
 2020-Jan-05 21:00, ,m, 291.9674936,  0.0457830,
 2020-Jan-05 22:00, ,m, 291.9724238,  0.0457450,
 2020-Jan-05 23:00, ,m, 291.9773634,  0.0457035,
 2020-Jan-06 00:00, ,m, 291.9823108,  0.0456581,
 2020-Jan-06 01:00, ,m, 291.9872637,  0.0456083,
 2020-Jan-06 02:00, ,m, 291.9922193,  0.0455542,
 2020-Jan-06 03:00, ,m, 291.9971751,  0.0454959,
 2020-Jan-06 04:00, , , 292.0021281,  0.0454342,
 2020-Jan-06 05:00, , , 292.0070758,  0.0453699,
 2020-Jan-06 06:00, , , 292.0120159,  0.0453038,
 2020-Jan-06 07:00,N, , 292.0169468,  0.0452371,
 2020-Jan-06 08:00,*, , 292.0218674,  0.0451710,
 2020-Jan-06 09:00,*, , 292.0267774,  0.0451065,
 2020-Jan-06 10:00,*, , 292.0316773,  0.0450446,
 2020-Jan-06 11:00,*, , 292.0365682,  0.0449861,
 2020-Jan-06 12:00,*, , 292.0414520,  0.0449317,
 2020-Jan-06 13:00,*, , 292.0463308,  0.0448815,
 2020-Jan-06 14:00,*,m, 292.0512074,  0.0448357,
 2020-Jan-06 15:00,*,m, 292.0560846,  0.0447940,
 2020-Jan-06 16:00,*,m, 292.0609652,  0.0447556,
 2020-Jan-06 17:00,C,m, 292.0658517,  0.0447200,
 2020-Jan-06 18:00,A,m, 292.0707463,  0.0446861,
 2020-Jan-06 19:00, ,m, 292.0756508,  0.0446527,
 2020-Jan-06 20:00, ,m, 292.0805660,  0.0446188,
 2020-Jan-06 21:00, ,m, 292.0854924,  0.0445833,
 2020-Jan-06 22:00, ,m, 292.0904293,  0.0445451,
 2020-Jan-06 23:00, ,m, 292.0953756,  0.0445035,
 2020-Jan-07 00:00, ,m, 292.1003295,  0.0444580,
 2020-Jan-07 01:00, ,m, 292.1052886,  0.0444080,
 2020-Jan-07 02:00, ,m, 292.1102505,  0.0443537,
 2020-Jan-07 03:00, ,m, 292.1152122,  0.0442953,
 2020-Jan-07 04:00, ,m, 292.1201710,  0.0442335,
 2020-Jan-07 05:00, , , 292.1251243,  0.0441691,
 2020-Jan-07 06:00, , , 292.1300698,  0.0441031,
 2020-Jan-07 07:00,N, , 292.1350060,  0.0440366,
 2020-Jan-07 08:00,*, , 292.1399319,  0.0439706,
 2020-Jan-07 09:00,*, , 292.1448472,  0.0439063,
 2020-Jan-07 10:00,*, , 292.1497524,  0.0438447,
 2020-Jan-07 11:00,*, , 292.1546487,  0.0437866,
 2020-Jan-07 12:00,*, , 292.1595378,  0.0437326,
 2020-Jan-07 13:00,*, , 292.1644222,  0.0436828,
 2020-Jan-07 14:00,*,m, 292.1693045,  0.0436374,
 2020-Jan-07 15:00,*,m, 292.1741875,  0.0435960,
 2020-Jan-07 16:00,*,m, 292.1790740,  0.0435580,
 2020-Jan-07 17:00,C,m, 292.1839666,  0.0435226,
 2020-Jan-07 18:00,A,m, 292.1888674,  0.0434888,
 2020-Jan-07 19:00, ,m, 292.1937780,  0.0434555,
 2020-Jan-07 20:00, ,m, 292.1986994,  0.0434217,
 2020-Jan-07 21:00, ,m, 292.2036319,  0.0433861,
 2020-Jan-07 22:00, ,m, 292.2085748,  0.0433478,
 2020-Jan-07 23:00, ,m, 292.2135271,  0.0433061,
 2020-Jan-08 00:00, ,m, 292.2184868,  0.0432603,
 2020-Jan-08 01:00, ,m, 292.2234515,  0.0432102,
 2020-Jan-08 02:00, ,m, 292.2284187,  0.0431557,
 2020-Jan-08 03:00, ,m, 292.2333857,  0.0430972,
 2020-Jan-08 04:00, ,m, 292.2383495,  0.0430353,
 2020-Jan-08 05:00, ,m, 292.2433076,  0.0429708,
 2020-Jan-08 06:00, , , 292.2482579,  0.0429048,
 2020-Jan-08 07:00,N, , 292.2531987,  0.0428384,
 2020-Jan-08 08:00,*, , 292.2581291,  0.0427726,
 2020-Jan-08 09:00,*, , 292.2630489,  0.0427085,
 2020-Jan-08 10:00,*, , 292.2679586,  0.0426472,
 2020-Jan-08 11:00,*, , 292.2728594,  0.0425895,
 2020-Jan-08 12:00,*, , 292.2777533,  0.0425358,
 2020-Jan-08 13:00,*, , 292.2826425,  0.0424864,
 2020-Jan-08 14:00,*, , 292.2875297,  0.0424413,
 2020-Jan-08 15:00,*,m, 292.2924178,  0.0424002,
 2020-Jan-08 16:00,*,m, 292.2973094,  0.0423625,
 2020-Jan-08 17:00,C,m, 292.3022072,  0.0423273,
 2020-Jan-08 18:00,A,m, 292.3071134,  0.0422937,
 2020-Jan-08 19:00, ,m, 292.3120294,  0.0422605,
 2020-Jan-08 20:00, ,m, 292.3169562,  0.0422266,
 2020-Jan-08 21:00, ,m, 292.3218940,  0.0421909,
 2020-Jan-08 22:00, ,m, 292.3268422,  0.0421525,
 2020-Jan-08 23:00, ,m, 292.3317995,  0.0421106,
 2020-Jan-09 00:00, ,m, 292.3367641,  0.0420647,
 2020-Jan-09 01:00, ,m, 292.3417336,  0.0420143,
 2020-Jan-09 02:00, ,m, 292.3467054,  0.0419596,
 2020-Jan-09 03:00, ,m, 292.3516767,  0.0419009,
 2020-Jan-09 04:00, ,m, 292.3566447,  0.0418389,
 2020-Jan-09 05:00, ,m, 292.3616068,  0.0417744,
 2020-Jan-09 06:00, ,m, 292.3665610,  0.0417084,
 2020-Jan-09 07:00,N, , 292.3715055,  0.0416420,
 2020-Jan-09 08:00,*, , 292.3764396,  0.0415763,
 2020-Jan-09 09:00,*, , 292.3813630,  0.0415125,
 2020-Jan-09 10:00,*, , 292.3862764,  0.0414515,
 2020-Jan-09 11:00,*, , 292.3911810,  0.0413940,
 2020-Jan-09 12:00,*, , 292.3960787,  0.0413407,
 2020-Jan-09 13:00,*, , 292.4009718,  0.0412916,
