timestamp,daylight,moon,EcLon,EcLat,
 2020-Jan-01 00:00, , , 280.0092827, -0.0011493,
 2020-Jan-01 01:00, , , 280.0521910, -0.0011914,
 2020-Jan-01 02:00, , , 280.0950755, -0.0012758,
 2020-Jan-01 03:00, , , 280.1379084, -0.0013966,
 2020-Jan-01 04:00, , , 280.1806652, -0.0015456,
 2020-Jan-01 05:00, , , 280.2233269, -0.0017126,
 2020-Jan-01 06:00, , , 280.2658809, -0.0018863,
 2020-Jan-01 07:00,N, , 280.3083219, -0.0020547,
 2020-Jan-01 08:00,*, , 280.3506522, -0.0022064,
 2020-Jan-01 09:00,*, , 280.3928819, -0.0023309,
 2020-Jan-01 10:00,*, , 280.4350276, -0.0024199,
 2020-Jan-01 11:00,*, , 280.4771121, -0.0024672,
 2020-Jan-01 12:00,*,m, 280.5191619, -0.0024696,
 2020-Jan-01 13:00,*,m, 280.5612060, -0.0024269,
 2020-Jan-01 14:00,*,m, 280.6032740, -0.0023422,
 2020-Jan-01 15:00,*,m, 280.6453936, -0.0022213,
 2020-Jan-01 16:00,*,m, 280.6875890, -0.0020724,
 2020-Jan-01 17:00,N,m, 280.7298795, -0.0019058,
 2020-Jan-01 18:00,A,m, 280.7722775, -0.0017330,
 2020-Jan-01 19:00, ,m, 280.8147883, -0.0015657,
 2020-Jan-01 20:00, ,m, 280.8574096, -0.0014155,
 2020-Jan-01 21:00, ,m, 280.9001314, -0.0012927,
 2020-Jan-01 22:00, ,m, 280.9429367, -0.0012056,
 2020-Jan-01 23:00, , , 280.9858032, -0.0011604,
 2020-Jan-02 00:00, , , 281.0287040, -0.0011600,
 2020-Jan-02 01:00, , , 281.0716102, -0.0012047,
 2020-Jan-02 02:00, , , 281.1144924, -0.0012914,
 2020-Jan-02 03:00, , , 281.1573229, -0.0014140,
 2020-Jan-02 04:00, , , 281.2000774, -0.0015642,
 2020-Jan-02 05:00, , , 281.2427367, -0.0017317,
 2020-Jan-02 06:00, , , 281.2852883, -0.0019050,
 2020-Jan-02 07:00,N, , 281.3277269, -0.0020723,
 2020-Jan-02 08:00,*, , 281.3700550, -0.0022222,
 2020-Jan-02 09:00,*, , 281.4122824, -0.0023443,
 2020-Jan-02 10:00,*, , 281.4544261, -0.0024304,
 2020-Jan-02 11:00,*, , 281.4965085, -0.0024745,
 2020-Jan-02 12:00,*,m, 281.5385563, -0.0024736,
 2020-Jan-02 13:00,*,m, 281.5805986, -0.0024277,
 2020-Jan-02 14:00,*,m, 281.6226648, -0.0023401,
 2020-Jan-02 15:00,*,m, 281.6647826, -0.0022167,
 2020-Jan-02 16:00,*,m, 281.7069763, -0.0020660,
 2020-Jan-02 17:00,C,m, 281.7492649, -0.0018983,
 2020-Jan-02 18:00,A,m, 281.7916611, -0.0017251,
 2020-Jan-02 19:00, ,m, 281.8341700, -0.0015583,
 2020-Jan-02 20:00, ,m, 281.8767893, -0.0014093,
 2020-Jan-02 21:00, ,m, 281.9195089, -0.0012882,
 2020-Jan-02 22:00, ,m, 281.9623121, -0.0012034,
 2020-Jan-02 23:00, ,m, 282.0051762, -0.0011607,
 2020-Jan-03 00:00, , , 282.0480746, -0.0011630,
 2020-Jan-03 01:00, , , 282.0909782, -0.0012102,
 2020-Jan-03 02:00, , , 282.1338577, -0.0012991,
 2020-Jan-03 03:00, , , 282.1766855, -0.0014235,
 2020-Jan-03 04:00, , , 282.2194372, -0.0015748,
 2020-Jan-03 05:00, , , 282.2620938, -0.0017427,
 2020-Jan-03 06:00, , , 282.3046426, -0.0019157,
 2020-Jan-03 07:00,N, , 282.3470785, -0.0020819,
 2020-Jan-03 08:00,*, , 282.3894039, -0.0022299,
 2020-Jan-03 09:00,*, , 282.4316288, -0.0023496,
 2020-Jan-03 10:00,*, , 282.4737699, -0.0024327,
 2020-Jan-03 11:00,*, , 282.5158500, -0.0024736,
 2020-Jan-03 12:00,*, , 282.5578955, -0.0024693,
 2020-Jan-03 13:00,*,m, 282.5999356, -0.0024203,
 2020-Jan-03 14:00,*,m, 282.6419996, -0.0023298,
 2020-Jan-03 15:00,*,m, 282.6841153, -0.0022040,
 2020-Jan-03 16:00,*,m, 282.7263069, -0.0020515,
 2020-Jan-03 17:00,C,m, 282.7685934, -0.0018828,
 2020-Jan-03 18:00,A,m, 282.8109874, -0.0017093,
 2020-Jan-03 19:00, ,m, 282.8534941, -0.0015429,
 2020-Jan-03 20:00, ,m, 282.8961111, -0.0013951,
 2020-Jan-03 21:00, ,m, 282.9388282, -0.0012759,
 2020-Jan-03 22:00, ,m, 282.9816288, -0.0011934,
 2020-Jan-03 23:00, ,m, 283.0244902, -0.0011532,
 2020-Jan-04 00:00, ,m, 283.0673858, -0.0011581,
 2020-Jan-04 01:00, ,m, 283.1102865, -0.0012079,
 2020-Jan-04 02:00, , , 283.1531630, -0.0012990,
 2020-Jan-04 03:00, , , 283.1959878, -0.0014251,
 2020-Jan-04 04:00, , , 283.2387364, -0.0015775,
 2020-Jan-04 05:00, , , 283.2813898, -0.0017458,
 2020-Jan-04 06:00, , , 283.3239356, -0.0019183,
 2020-Jan-04 07:00,N, , 283.3663685, -0.0020833,
 2020-Jan-04 08:00,*, , 283.4086910, -0.0022295,
 2020-Jan-04 09:00,*, , 283.4509130, -0.0023466,
 2020-Jan-04 10:00,*, , 283.4930515, -0.0024268,
 2020-Jan-04 11:00,*, , 283.5351289, -0.0024644,
 2020-Jan-04 12:00,*, , 283.5771719, -0.0024569,
 2020-Jan-04 13:00,*,m, 283.6192095, -0.0024047,
 2020-Jan-04 14:00,*,m, 283.6612711, -0.0023113,
 2020-Jan-04 15:00,*,m, 283.7033845, -0.0021831,
 2020-Jan-04 16:00,*,m, 283.7455737, -0.0020289,
 2020-Jan-04 17:00,C,m, 283.7878578, -0.0018592,
 2020-Jan-04 18:00,A,m, 283.8302494, -0.0016855,
 2020-Jan-04 19:00, ,m, 283.8727536, -0.0015197,
 2020-Jan-04 20:00, ,m, 283.9153679, -0.0013731,
 2020-Jan-04 21:00, ,m, 283.9580824, -0.0012557,
 2020-Jan-04 22:00, ,m, 284.0008801, -0.0011755,
 2020-Jan-04 23:00, ,m, 284.0437386, -0.0011380,
 2020-Jan-05 00:00, ,m, 284.0866311, -0.0011455,
 2020-Jan-05 01:00, ,m, 284.1295286, -0.0011978,
 2020-Jan-05 02:00, ,m, 284.1724019, -0.0012911,
 2020-Jan-05 03:00, , , 284.2152234, -0.0014189,
 2020-Jan-05 04:00, , , 284.2579687, -0.0015724,
 2020-Jan-05 05:00, , , 284.3006188, -0.0017409,
 2020-Jan-05 06:00, , , 284.3431614, -0.0019131,
 2020-Jan-05 07:00,N, , 284.3855911, -0.0020769,
 2020-Jan-05 08:00,*, , 284.4279104, -0.0022211,
 2020-Jan-05 09:00,*, , 284.4701294, -0.0023357,
