timestamp,daylight,moon,EcLon,EcLat,
 2020-Jan-01 00:00, , , 314.4083716, -1.8397882,
 2020-Jan-01 01:00, , , 314.4597238, -1.8394669,
 2020-Jan-01 02:00, , , 314.5111050, -1.8391780,
 2020-Jan-01 03:00, , , 314.5624941, -1.8389176,
 2020-Jan-01 04:00, , , 314.6138691, -1.8386794,
 2020-Jan-01 05:00, , , 314.6652092, -1.8384556,
 2020-Jan-01 06:00, , , 314.7164956, -1.8382370,
 2020-Jan-01 07:00,N, , 314.7677132, -1.8380141,
 2020-Jan-01 08:00,*, , 314.8188514, -1.8377772,
 2020-Jan-01 09:00,*, , 314.8699050, -1.8375178,
 2020-Jan-01 10:00,*, , 314.9208744, -1.8372286,
 2020-Jan-01 11:00,*, , 314.9717657, -1.8369040,
 2020-Jan-01 12:00,*,m, 315.0225902, -1.8365408,
 2020-Jan-01 13:00,*,m, 315.0733637, -1.8361384,
 2020-Jan-01 14:00,*,m, 315.1241053, -1.8356984,
 2020-Jan-01 15:00,*,m, 315.1748362, -1.8352250,
 2020-Jan-01 16:00,*,m, 315.2255784, -1.8347246,
 2020-Jan-01 17:00,N,m, 315.2763528, -1.8342050,
 2020-Jan-01 18:00,A,m, 315.3271783, -1.8336754,
 2020-Jan-01 19:00, ,m, 315.3780699, -1.8331454,
 2020-Jan-01 20:00, ,m, 315.4290383, -1.8326245,
 2020-Jan-01 21:00, ,m, 315.4800888, -1.8321213,
 2020-Jan-01 22:00, ,m, 315.5312209, -1.8316432,
 2020-Jan-01 23:00, , , 315.5824286, -1.8311956,
 2020-Jan-02 00:00, , , 315.6337007, -1.8307815,
 2020-Jan-02 01:00, , , 315.6850213, -1.8304016,
 2020-Jan-02 02:00, , , 315.7363712, -1.8300542,
 2020-Jan-02 03:00, , , 315.7877293, -1.8297350,
 2020-Jan-02 04:00, , , 315.8390736, -1.8294376,
 2020-Jan-02 05:00, , , 315.8903831, -1.8291541,
 2020-Jan-02 06:00, , , 315.9416390, -1.8288752,
 2020-Jan-02 07:00,N, , 315.9928260, -1.8285913,
 2020-Jan-02 08:00,*, , 316.0439336, -1.8282929,
 2020-Jan-02 09:00,*, , 316.0949563, -1.8279714,
 2020-Jan-02 10:00,*, , 316.1458945, -1.8276194,
 2020-Jan-02 11:00,*, , 316.1967543, -1.8272318,
 2020-Jan-02 12:00,*,m, 316.2475468, -1.8268054,
 2020-Jan-02 13:00,*,m, 316.2982878, -1.8263395,
 2020-Jan-02 14:00,*,m, 316.3489965, -1.8258362,
 2020-Jan-02 15:00,*,m, 316.3996941, -1.8252998,
 2020-Jan-02 16:00,*,m, 316.4504027, -1.8247366,
 2020-Jan-02 17:00,C,m, 316.5011432, -1.8241548,
 2020-Jan-02 18:00,A,m, 316.5519346, -1.8235635,
 2020-Jan-02 19:00, ,m, 316.6027921, -1.8229725,
 2020-Jan-02 20:00, ,m, 316.6537264, -1.8223911,
 2020-Jan-02 21:00, ,m, 316.7047429, -1.8218281,
 2020-Jan-02 22:00, ,m, 316.7558412, -1.8212905,
 2020-Jan-02 23:00, ,m, 316.8070155, -1.8207838,
 2020-Jan-03 00:00, , , 316.8582544, -1.8203109,
 2020-Jan-03 01:00, , , 316.9095422, -1.8198722,
 2020-Jan-03 02:00, , , 316.9608597, -1.8194659,
 2020-Jan-03 03:00, , , 317.0121856, -1.8190875,
 2020-Jan-03 04:00, , , 317.0634980, -1.8187306,
 2020-Jan-03 05:00, , , 317.1147758, -1.8183870,
 2020-Jan-03 06:00, , , 317.1660000, -1.8180475,
 2020-Jan-03 07:00,N, , 317.2171554, -1.8177023,
 2020-Jan-03 08:00,*, , 317.2682312, -1.8173420,
 2020-Jan-03 09:00,*, , 317.3192219, -1.8169580,
 2020-Jan-03 10:00,*, , 317.3701278, -1.8165431,
 2020-Jan-03 11:00,*, , 317.4209548, -1.8160921,
 2020-Jan-03 12:00,*, , 317.4717141, -1.8156021,
 2020-Jan-03 13:00,*,m, 317.5224216, -1.8150725,
 2020-Jan-03 14:00,*,m, 317.5730962, -1.8145056,
 2020-Jan-03 15:00,*,m, 317.6237595, -1.8139058,
 2020-Jan-03 16:00,*,m, 317.6744332, -1.8132797,
 2020-Jan-03 17:00,C,m, 317.7251387, -1.8126354,
 2020-Jan-03 18:00,A,m, 317.7758948, -1.8119822,
 2020-Jan-03 19:00, ,m, 317.8267170, -1.8113298,
 2020-Jan-03 20:00, ,m, 317.8776160, -1.8106878,
 2020-Jan-03 21:00, ,m, 317.9285973, -1.8100646,
 2020-Jan-03 22:00, ,m, 317.9796607, -1.8094674,
 2020-Jan-03 23:00, ,m, 318.0308003, -1.8089013,
 2020-Jan-04 00:00, ,m, 318.0820049, -1.8083693,
 2020-Jan-04 01:00, ,m, 318.1332588, -1.8078716,
 2020-Jan-04 02:00, , , 318.1845427, -1.8074062,
 2020-Jan-04 03:00, , , 318.2358353, -1.8069683,
 2020-Jan-04 04:00, , , 318.2871147, -1.8065516,
 2020-Jan-04 05:00, , , 318.3383596, -1.8061477,
 2020-Jan-04 06:00, , , 318.3895511, -1.8057472,
 2020-Jan-04 07:00,N, , 318.4406738, -1.8053404,
 2020-Jan-04 08:00,*, , 318.4917166, -1.8049179,
 2020-Jan-04 09:00,*, , 318.5426742, -1.8044711,
 2020-Jan-04 10:00,*, , 318.5935466, -1.8039930,
 2020-Jan-04 11:00,*, , 318.6443398, -1.8034783,
 2020-Jan-04 12:00,*, , 318.6950649, -1.8029244,
 2020-Jan-04 13:00,*,m, 318.7457376, -1.8023309,
 2020-Jan-04 14:00,*,m, 318.7963771, -1.8017001,
 2020-Jan-04 15:00,*,m, 318.8470047, -1.8010367,
 2020-Jan-04 16:00,*,m, 318.8976425, -1.8003474,
 2020-Jan-04 17:00,C,m, 318.9483117, -1.7996404,
 2020-Jan-04 18:00,A,m, 318.9990314, -1.7989251,
 2020-Jan-04 19:00, ,m, 319.0498171, -1.7982112,
 2020-Jan-04 20:00, ,m, 319.1006796, -1.7975082,
 2020-Jan-04 21:00, ,m, 319.1516247, -1.7968247,
 2020-Jan-04 22:00, ,m, 319.2026520, -1.7961676,
 2020-Jan-04 23:00, ,m, 319.2537558, -1.7955421,
 2020-Jan-05 00:00, ,m, 319.3049249, -1.7949508,
 2020-Jan-05 01:00, ,m, 319.3561437, -1.7943939,
 2020-Jan-05 02:00, ,m, 319.4073929, -1.7938690,
 2020-Jan-05 03:00, , , 319.4586511, -1.7933716,
 2020-Jan-05 04:00, , , 319.5098963, -1.7928948,
 2020-Jan-05 05:00, , , 319.5611073, -1.7924302,
 2020-Jan-05 06:00, , , 319.6122650, -1.7919685,
 2020-Jan-05 07:00,N, , 319.6633537, -1.7914999,
 2020-Jan-05 08:00,*, , 319.7143625, -1.7910150,
 2020-Jan-05 09:00,*, , 319.7652859, -1.7905051,
 2020-Jan-05 10:00,*, , 319.8161237, -1.7899634,
 2020-Jan-05 11:00,*, , 319.8668820, -1.7893848,
 2020-Jan-05 12:00,*, , 319.9175716, -1.7887668,
 2020-Jan-05 13:00,*,m, 319.9682085, -1.7881091,
 2020-Jan-05 14:00,*,m, 320.0188116, -1.7874143,
 2020-Jan-05 15:00,*,m, 320.0694025, -1.7866871,
 2020-Jan-05 16:00,*,m, 320.1200032, -1.7859343,
 2020-Jan-05 17:00,C,m, 320.1706350, -1.7851644,
 2020-Jan-05 18:00,A,m, 320.2213171, -1.7843869,
 2020-Jan-05 19:00, ,m, 320.2720651, -1.7836113,
 2020-Jan-05 20:00, ,m, 320.3228901, -1.7828473,
 2020-Jan-05 21:00, ,m, 320.3737976, -1.7821033,
